epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.1785,1.53496,3.83848,1.69205,0.00321,1,0.02901,0.01066,0.79188,3.27823,1.13406,0.00012,0.00012,0.00012
2,3.77265,0.67363,2.34821,0.96066,1,0.75899,0.995,0.87262,0.47254,1.92289,0.81541,0.000257426,0.000257426,0.000257426
3,5.33959,0.48582,1.1021,0.83366,1,0.92705,0.995,0.87611,0.45315,2.01869,0.81301,0.00039208,0.00039208,0.00039208
4,6.89621,0.44905,1.04344,0.83045,1,0.72812,0.97461,0.87394,0.43322,2.08132,0.8387,0.000523962,0.000523962,0.000523962
5,8.42914,0.42658,0.87775,0.81278,0.99891,1,0.995,0.9189,0.50576,1.569,0.81872,0.000653072,0.000653072,0.000653072
6,10.0123,0.43519,0.85981,0.84536,0.99505,1,0.995,0.90221,0.46433,1.18187,0.81493,0.00077941,0.00077941,0.00077941
7,11.5514,0.40101,0.78736,0.81915,0.99732,1,0.995,0.93809,0.42757,1.14533,0.81388,0.000902976,0.000902976,0.000902976
8,13.0852,0.39052,0.75315,0.83728,0.99602,1,0.995,0.91917,0.38752,1.08519,0.80582,0.00102377,0.00102377,0.00102377
9,14.555,0.40706,0.74649,0.8376,0.96093,1,0.995,0.92284,0.40428,0.86696,0.80965,0.00114179,0.00114179,0.00114179
10,16.0797,0.40678,0.67701,0.84723,0.99481,1,0.995,0.91287,0.39955,0.93298,0.81709,0.00125704,0.00125704,0.00125704
11,17.5746,0.37076,0.63183,0.82442,0.99716,1,0.995,0.9435,0.34315,0.93479,0.80886,0.00136952,0.00136952,0.00136952
12,19.0815,0.37114,0.61455,0.81041,0.99705,1,0.995,0.89683,0.44691,0.76938,0.83776,0.00147923,0.00147923,0.00147923
13,20.5799,0.39267,0.61876,0.82754,0.99138,1,0.995,0.93085,0.39707,0.69956,0.81833,0.00158616,0.00158616,0.00158616
14,22.0781,0.39025,0.58012,0.80558,0.99616,1,0.995,0.89798,0.49977,0.51212,0.83098,0.00169032,0.00169032,0.00169032
15,23.5567,0.39465,0.59373,0.82244,0.99744,1,0.995,0.93349,0.33396,0.43978,0.81949,0.0017228,0.0017228,0.0017228
16,25.0624,0.38507,0.58622,0.82703,0.99259,1,0.995,0.91624,0.41267,0.45691,0.83138,0.001703,0.001703,0.001703
17,26.4866,0.369,0.52079,0.84877,1,0.98979,0.995,0.94245,0.29427,0.4829,0.81681,0.0016832,0.0016832,0.0016832
18,27.7993,0.34753,0.49163,0.82296,0.9976,1,0.995,0.97484,0.37002,0.43102,0.8165,0.0016634,0.0016634,0.0016634
19,29.1599,0.3567,0.49267,0.81664,0.99759,1,0.995,0.96157,0.30328,0.38036,0.81228,0.0016436,0.0016436,0.0016436
20,30.4602,0.35098,0.47412,0.81352,0.99786,1,0.995,0.91653,0.36294,0.39421,0.82038,0.0016238,0.0016238,0.0016238
21,31.69,0.35585,0.47008,0.82142,0.99795,1,0.995,0.96947,0.31058,0.36685,0.80876,0.001604,0.001604,0.001604
22,33.0098,0.33448,0.43411,0.80858,0.95711,1,0.99346,0.95395,0.33701,0.40013,0.81635,0.0015842,0.0015842,0.0015842
23,34.2649,0.3326,0.41361,0.81262,0.99297,0.96,0.99071,0.93537,0.34432,0.45233,0.81984,0.0015644,0.0015644,0.0015644
24,35.529,0.34389,0.43687,0.82303,0.99709,1,0.995,0.95283,0.28366,0.38453,0.80902,0.0015446,0.0015446,0.0015446
25,36.7667,0.33034,0.42549,0.82042,0.99495,0.96,0.98625,0.95669,0.31397,0.4305,0.81711,0.0015248,0.0015248,0.0015248
26,38.0152,0.32185,0.41706,0.82042,0.99563,0.96,0.98948,0.97069,0.28502,0.4093,0.81278,0.001505,0.001505,0.001505
27,39.2614,0.29723,0.37366,0.80356,0.99507,0.96,0.98726,0.96531,0.26116,0.3738,0.80931,0.0014852,0.0014852,0.0014852
28,40.5507,0.2963,0.36805,0.80934,1,0.9906,0.995,0.96366,0.24101,0.34382,0.81932,0.0014654,0.0014654,0.0014654
29,41.8028,0.30453,0.37892,0.81074,0.99738,1,0.995,0.97126,0.29738,0.31272,0.81633,0.0014456,0.0014456,0.0014456
30,43.0746,0.31057,0.35726,0.81003,0.99697,1,0.995,0.99052,0.24431,0.31399,0.80319,0.0014258,0.0014258,0.0014258
31,44.3336,0.31155,0.3555,0.82343,0.99758,1,0.995,0.98583,0.25195,0.29377,0.80416,0.001406,0.001406,0.001406
32,45.5953,0.27961,0.33601,0.81561,0.99711,1,0.995,0.991,0.22786,0.28935,0.79351,0.0013862,0.0013862,0.0013862
33,46.8166,0.28056,0.30519,0.8018,0.99787,1,0.995,0.9778,0.29818,0.31816,0.801,0.0013664,0.0013664,0.0013664
34,48.0634,0.29663,0.33799,0.80688,0.9978,1,0.995,0.98617,0.26278,0.29469,0.80783,0.0013466,0.0013466,0.0013466
35,49.3118,0.27571,0.33243,0.80501,0.9979,1,0.995,0.98956,0.2583,0.29432,0.80889,0.0013268,0.0013268,0.0013268
36,50.5759,0.26457,0.30221,0.80562,0.9981,1,0.995,0.995,0.25675,0.2683,0.8035,0.001307,0.001307,0.001307
37,51.8675,0.27244,0.32274,0.82181,0.9983,1,0.995,0.9822,0.22113,0.22948,0.80185,0.0012872,0.0012872,0.0012872
38,53.1695,0.2748,0.30836,0.80108,0.99865,1,0.995,0.97118,0.26719,0.27085,0.81035,0.0012674,0.0012674,0.0012674
